image_url,question,gt_answer,llava_model_answer,hallucination_type,llama_hallucination_analysis,llama_hallucination_evaluation,llama_hallucination_rating
https://midjourney-image.s3.amazonaws.com/VB7_a_Astronaut_The_office_was_filled_with_clouds_reading_on_to_514597c5-2514-45e1-8d8d-a318901975aa.png,Is the sun on the left or right of the picture? Answer with reasonable length (not too short or too long).,The sun is not visible in the picture.,Left,insufficient context,The direct answer 'Left' contradicts the ground truth 'The sun is not visible in the picture.' as it implies the presence of the sun in the picture and its location. This indicates that the response contains hallucination.,yes,4.0
https://midjourney-image.s3.amazonaws.com/bd426d1b-8903-4d24-9038-ccf188ac8760.png,Is the tree brown or orange? Answer with reasonable length (not too short or too long).,There is no tree in the image.,Brown,false premises,The direct answer 'Brown' contradicts the ground truth 'There is no tree in the image' as it implies the existence of a tree with a specific color. This indicates that LLava's response is a hallucination.,yes,4.0
https://midjourney-image.s3.amazonaws.com/ab45c05f-6256-4583-ac25-b1d71b2767dc.png,What color is the black cat's robe? Answer with reasonable length (not too short or too long).,There is not a black cat in the picture.,The black cat's robe is blue.,false premises,"The direct answer to the question is 'The black cat's robe is blue.' However, the ground truth is that there is no black cat in the picture, which means the concept of the black cat's robe does not exist. Therefore, LLava's response directly contradicts the ground truth, indicating a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/_A_female_elementary_school_student_in_a_sci-fi_and_futuristic__cc356dca-8593-4314-afd5-70008bfe4c0c.png,What color is the girl's hat? Answer with reasonable length (not too short or too long).,The girl in the image is not wearing a hat.,The girl in the image does not have a hat.,false premises,"The direct answer to the question is that the girl in the image does not have a hat. This directly aligns with the standard human-generated answer that the girl in the image is not wearing a hat. Therefore, there is no contradiction between the direct answer and the ground truth.",no,0.0
https://midjourney-image.s3.amazonaws.com/a9851da8-309c-425a-8829-7dd80284aebc.png,Is the lizard's hat green or blue? Answer with reasonable length (not too short or too long).,The lizard is not wearing a hat.,The lizard's hat is blue.,false premises,"The direct answer 'The lizard's hat is blue' contradicts the ground truth 'The lizard is not wearing a hat'. Since the direct answer is incorrect, it is marked as a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/a73f5e48-81f8-49df-9f09-7dc58f11f12d.png,What shape is the insignia on the figure's chest? Answer with reasonable length (not too short or too long).,There is no insignia on the figure's chest.,"The insignia on the figure's chest is a stylized letter ""T.""",false premises,"Llava's direct answer, ""The insignia on the figure's chest is a stylized letter 'T.'"", contradicts the provided ground truth, ""There is no insignia on the figure's chest."" This indicates that the response contains hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/bc501291-0755-4628-aab0-3582038892d8.png,What color ring is the figure wearing? Answer with reasonable length (not too short or too long).,We can not see any rings; No ring is visible in the image; No ring,The figure is wearing a silver ring.,false premises,"Llava's direct answer, 'The figure is wearing a silver ring', contradicts the ground truth, which states that no ring is visible. This indicates a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/adventures_at_Maku_pixar_white_cat_with_blue_eyes_hugging_a_sma_30ac1385-263c-49cb-b36c-8c3db44c18bd.png,How many kittens is the black cat holding? Answer with reasonable length (not too short or too long).,There is no black cat in this image.,The black cat is holding two kittens.,false premises,"The direct answer 'The black cat is holding two kittens' contradicts the ground truth 'There is no black cat in this image' as it implies the presence of a black cat, which is not supported by the provided details.",yes,4.0
https://midjourney-image.s3.amazonaws.com/a21166ca-f919-4c19-8c6c-647eef65f0f3.png,What kind of glasses is the woman wearing? Answer with reasonable length (not too short or too long).,She is not wearing any glasses.,"The woman in the image is wearing a pair of round, dark-rimmed glasses. The glasses have a classic design with a simple, elegant frame that complements her overall appearance.",false premises,"The direct answer to the question is that the woman is wearing round, dark-rimmed glasses. However, the ground truth states that she is not wearing any glasses. This means that the direct answer from LLava's response directly contradicts the ground truth, indicating a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/adventures_at_Maku_pixar_super_hero_flying_small_brown_monkey_j_b8648170-cd79-438e-8ff1-b5072deae58d.png,What animal is attacking the monkey? Answer with reasonable length (not too short or too long).,There is no animal attacking the monkey in this image.,"The image does not depict an animal attacking the monkey. It shows a stylized, anthropomorphic monkey character wearing a cape and a mask, standing on a rock with a background of flowers and leaves. The character appears to be in a heroic or adventurous pose, and there is no indication of an attack or any other aggressive action towards another animal.",false premises,"Llava's response directly answers the question by stating there is no animal attacking the monkey. This aligns with the standard human-generated answer, which also states there is no animal attacking the monkey. Therefore, Llava's response does not contain hallucination.",no,0.0
https://midjourney-image.s3.amazonaws.com/a40824f0-4899-49df-b22f-a5c0e29f29d7.png,How many bugs are on the cats head? Answer with reasonable length (not too short or too long).,There are no bugs in this image.,"There are no bugs on the cat's head. The image features a stylized cat with a dramatic and somewhat abstract design, but it does not depict any bugs or other objects on the cat's head.",false premises,"The direct answer to the question is 'There are no bugs on the cat's head.' This directly matches the standard human-generated answer, which states 'There are no bugs in this image.' Therefore, the response does not contain hallucination.",no,0.0
https://midjourney-image.s3.amazonaws.com/bd426d1b-8903-4d24-9038-ccf188ac8760+11.49.41+PM.png,What animal is the astronaut holding? Answer with reasonable length (not too short or too long).,The astronaut is not holding an animal.,"The astronaut is not holding an animal; instead, there is a dog in the image.",false premises,"The direct answer to the question is 'there is a dog in the image.' This contradicts the ground truth that the astronaut is not holding an animal. Therefore, this response contains a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/c87205bc-2cbd-4d23-81a9-881d73ebb444.png,Is the wolves' teeth sharp or dull in this picture? Answer with reasonable length (not too short or too long).,The wolf is not showing its teeth in this picture.,"In the image, the wolf's teeth appear to be sharp. The wolf's teeth are a prominent feature of its facial structure, and they are depicted as being pointed and potentially dangerous. This is consistent with the natural appearance of wolf teeth, which are designed for tearing and biting prey.",insufficient context,"The direct answer is that the wolf's teeth appear to be sharp, which contradicts the ground truth that the wolf's teeth are not shown in the picture.",yes,4.0
https://midjourney-image.s3.amazonaws.com/c56e9999-f6e2-4e0e-a002-6414aa154b8d.png,What weapon does the lion warrior have in his hands? Answer with reasonable length (not too short or too long).,The lion warrior's hands are not visible.,The lion warrior in the image is holding a spear.,insufficient context,"The direct answer to the question is that the lion warrior is holding a spear. The ground truth states that the lion warrior's hands are not visible. Since the direct answer contradicts the ground truth, it is considered a hallucination.",yes,5.0
https://midjourney-image.s3.amazonaws.com/ab6bf1cc-de0a-4bae-aaf1-3ea91456a0a7.png,What color is the clip in the figure's hair? Answer with reasonable length (not too short or too long).,There is no clip in the image's hair.,The clip in the figure's hair is gold.,false premises,"The direct answer to the question is ""The clip in the figure's hair is gold."". However, the ground truth is that there is no clip in the image's hair. Since the direct answer contradicts the ground truth, it is a hallucination. The incorrect information is the presence and color of the clip in the figure's hair.",yes,4.0
https://midjourney-image.s3.amazonaws.com/__Luminous_roseA_high-definition_CG_rendering_of_a_dark_rose_fo_91c19602-76f0-475d-84c1-30517c800dc2.png,Which direction is the fox facing in this image? Answer with reasonable length (not too short or too long).,There is no fox in this image.,The fox in the image is facing towards the right.,false premises,"The direct answer to the question is that the fox in the image is facing towards the right. However, the ground truth is that there is no fox in the image. Therefore, the direct answer contradicts the ground truth, marking it as a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/bcb03e01-6555-4482-b813-5d237619cdf2.png,How many tongues does this creature have? Answer with reasonable length (not too short or too long).,The creature is not showing its tongue(s).,"The creature in the image has a single, elongated tongue that appears to be quite long. It is not possible to determine the exact length of the tongue from the image, but it is certainly longer than the creature's head.",insufficient context,"The direct answer to the question is 'The creature in the image has a single, elongated tongue that appears to be quite long.' However, the ground truth is 'The creature is not showing its tongue(s)'. Since the direct answer contradicts the ground truth, it is marked as a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/ae8d3032-c5e7-41bf-ad03-df8c4fad8afc.png,How many legs does the mechanical elephant have? Answer with reasonable length (not too short or too long).,There is no mechanical elephant in this picture.,The mechanical elephant in the image has four legs.,false premises,"The direct answer to the question is 'The mechanical elephant in the image has four legs.' However, the ground truth is 'There is no mechanical elephant in this picture.' Since there is no mechanical elephant, it is not possible for it to have four legs. Therefore, the direct answer contradicts the ground truth.",yes,4.0
https://midjourney-image.s3.amazonaws.com/4b533acd-d4d9-497f-a76f-3d71785bc50f.png,What is the name of the artist who created this image? Answer with reasonable length (not too short or too long).,There is no artist mentioned in the image.,"The image is a piece of digital artwork, and as such, it does not have a specific artist associated with it. It is a creation of the artist who designed and rendered the image. The artist's name is not provided in the image itself, and without additional context, it is not possible to identify the creator of this particular piece.",false premises,"Llava's direct answer is that the artist's name is not provided in the image itself, and without additional context, it is not possible to identify the creator of this particular piece. This directly contradicts the standard human-generated answer that there is no artist mentioned in the image. However, Llava's statement is actually in agreement with the standard answer. The key difference is that Llava provides additional context that the image is a piece of digital artwork, but this does not change the core answer that the artist's name is not provided.",no,1.0
https://midjourney-image.s3.amazonaws.com/4ee38ce0-ef38-4d8a-a669-50621f06f36c.png,How many people are walking on the street? Answer with reasonable length (not too short or too long).,There appear to be no people walking on the street.,"There are no people walking on the street in the image. It depicts a city street at night with a car driving down the road and illuminated buildings, but no pedestrians are visible.",false premises,"The direct answer in LLava's response is 'There are no people walking on the street in the image.' which is in agreement with the ground truth 'There appear to be no people walking on the street.' as both state that there are no people walking on the street. Therefore, it is not a hallucination.",no,0.0
https://midjourney-image.s3.amazonaws.com/58bcfd8f-5584-4312-91db-4c8986fbb673.png,What shape is the charm on the necklace that the character is wearing? Answer with reasonable length (not too short or too long).,The character is not wearing a necklace.,The charm on the necklace that the character is wearing is in the shape of a crescent moon.,false premises,"The direct answer is that the charm on the necklace is in the shape of a crescent moon. However, the standard human-generated answer states that the character is not wearing a necklace, which contradicts the premise of LLava's response. Therefore, the direct answer is a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/31b998cf-ea69-4cf1-bcf4-fe0c2937aebb.png,What are the reins in the image made of? Answer with reasonable length (not too short or too long).,There are no reins in the image.,The reins in the image are made of leather.,false premises,"The direct answer to the question is that the reins in the image are made of leather. However, the standard human-generated answer states that there are no reins in the image. This implies that the ground truth is that there are no reins, and therefore the direct answer from LLava is a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/3f94a9fc-0947-4d29-a8db-503da17371eb.png,How many Koi fish are swimming in the lake around the canoe? Answer with reasonable length (not too short or too long).,There are no koi fish in the image.,There are three Koi fish swimming in the lake around the canoe.,false premises,"The direct answer from LLava's response is that there are three Koi fish swimming in the lake around the canoe. However, this contradicts the ground truth provided by the standard human-generated answer, which states that there are no koi fish in the image. This indicates that LLava's response contains hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/00bfaee4-becc-403c-a65c-898961485fea.png,What kind of fish is swimming in the jar? Answer with reasonable length (not too short or too long).,There is not a fish in the jar.,"The image depicts a jar filled with a vibrant, colorful, and fantastical underwater scene, which includes various types of fish and other marine life. However, there is no actual fish swimming in the jar. The scene is a digital creation or artwork, not a real-life scenario.",false premises,"The direct answer to the question is 'there is no actual fish swimming in the jar.' This is in agreement with the ground truth, which states 'There is not a fish in the jar.' Therefore, the response is not hallucinating.",no,0.0
https://midjourney-image.s3.amazonaws.com/4b28f5f3-f9ef-472e-a88e-1386aa516731+11.49.40+PM.png,What is the woman pointing to in this picture? Answer with reasonable length (not too short or too long).,The woman's hand is not present so she is not pointing to anything.,"The woman in the image is pointing to her own face, which is surrounded by a vibrant and dynamic swirl of colors and shapes. The swirl appears to be a representation of her thoughts, emotions, or perhaps the concept of self-reflection. The artwork is highly stylized and abstract, inviting viewers to interpret the meaning behind the woman's gesture and the surrounding imagery.",false premises,"The direct answer to the question is that the woman is pointing to her own face. However, the ground truth is that the woman's hand is not present so she is not pointing to anything. Therefore, the direct answer contradicts the ground truth, indicating a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/3df60a8f-9357-487b-bc36-03d0f2754c11.png,What type of vehicle is the dog riding on? Answer with reasonable length (not too short or too long).,There is no vehicle in the image.,The dog is not riding on a vehicle; it is wearing a costume that resembles a pilot's outfit.,false premises,"The direct answer to the question is that the dog is wearing a costume that resembles a pilot's outfit. This contradicts the ground truth that there is no vehicle in the image, as the response implies a vehicle (airplane) based on the costume. Therefore, the response contains hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/606475bb-baf0-4ec0-b9a3-4e50f52f50cf.png,What type of shoes is the woman wearing? Answer with reasonable length (not too short or too long).,The woman's shoes are not present in the image.,The woman in the image is wearing a pair of high-heeled shoes.,false premises,"The direct answer from Llava's response is 'The woman in the image is wearing a pair of high-heeled shoes.' This contradicts the ground truth provided by the standard human-generated answer, which states that the woman's shoes are not present in the image.",yes,5.0
https://midjourney-image.s3.amazonaws.com/4cfefd61-0707-4303-b457-98e7819025a0.png,Which pocket are his nunchucks in? Answer with reasonable length (not too short or too long).,He doesn’t have any pockets or nunchucks.,"The cat in the image is not holding nunchucks. It is dressed in a costume that resembles a martial arts uniform, and the pose is staged to look like the cat is performing a martial arts move. The cat is not holding any objects that could be mistaken for nunchucks.",false premises,"Llava's direct answer is that the cat is not holding nunchucks, which aligns with the ground truth that the cat is not holding any objects that could be mistaken for nunchucks. However, the response also contains extra information about the cat's costume and pose, which is not relevant to the direct answer.",no,1.0
https://midjourney-image.s3.amazonaws.com/473e30e3-79ee-43e7-8dbc-b0ee5346e3fa.png,What shape is the earring that the character in the image is wearing? Answer with reasonable length (not too short or too long).,The character in the image is not wearing an earring.,"The character in the image is wearing a large, pointed earring.",false premises,"The direct answer to the question is 'The character in the image is wearing a large, pointed earring.' However, the ground truth is that the character is not wearing an earring. This means the direct answer contradicts the ground truth, indicating a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/329295883_572141384837358_8437995903476001500_n.jpg,How many ice cubes are in the woman's drink? Answer with reasonable length (not too short or too long).,The woman's drink does not have ice.,The image does not provide enough detail to determine the number of ice cubes in the woman's drink.,false premises,"The direct answer from LLava's response is that the image does not provide enough detail to determine the number of ice cubes in the woman's drink. This directly aligns with the standard human-generated answer, which states that the woman's drink does not have ice. Therefore, there is no contradiction between the direct answer and the ground truth, and we can confidently conclude that LLava's response does not contain hallucination.",no,1.0
https://midjourney-image.s3.amazonaws.com/592f971c-0ce9-4742-9856-b82d44e47a55.png,How is the little mouse on the wheel in the image dressed? Answer with reasonable length (not too short or too long).,There is no mouse in the image.,"The little mouse on the wheel in the image is dressed in a suit and tie, giving it a formal and sophisticated appearance.",false premises,"The direct answer to the question is that the little mouse on the wheel is dressed in a suit and tie. However, the ground truth is that there is no mouse in the image. This means that LLava's response contains hallucination because it describes a mouse that does not exist in the image.",yes,4.0
https://midjourney-image.s3.amazonaws.com/449f5ac6-d83b-44c2-b844-00b30a8bfcd4.png,What kind of shield is the woman using? Answer with reasonable length (not too short or too long).,The woman is not using a shield.,"The woman in the image is using a sword shield, which is a type of shield that is designed to be used with a sword. This shield is typically made of metal and features a curved or rounded shape to protect the user's hand and forearm while allowing for the use of a sword for cutting and thrusting. The sword shield in the image is red and black, and it appears to be a part of the character's armor, suggesting that she might be a war",false premises,"The direct answer to the question is 'The woman is using a sword shield.' This contradicts the ground truth that 'The woman is not using a shield.' Therefore, LLava's response is marked as a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/5a13fcca-8e45-4260-942a-7888af3d40aa.png,How many dolphins are flying in the sky. Answer with reasonable length (not too short or too long).,"There are no dolphins flying, only whales.",There are several dolphins flying in the sky in the image.,false premises,"The direct answer to the question is ""There are several dolphins flying in the sky in the image."" This contradicts the ground truth, which states that there are no dolphins flying. Therefore, the response contains a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/50d7bc30-ce9a-4aef-8f8a-31da9f37892c.png,What color is the frog sitting on the lilypad in the background of the image? Answer with reasonable length (not too short or too long).,There is no frog present in the image.,The frog sitting on the lilypad in the background of the image is pink.,false premises,"The direct answer to the question is that the frog sitting on the lilypad in the background of the image is pink. However, the standard human-generated answer states that there is no frog present in the image. This indicates that LLava's answer is incorrect as it assumes the presence of a frog. Therefore, the response contains a hallucination.",yes,5.0
https://midjourney-image.s3.amazonaws.com/20522be9-f34d-478d-9e61-03817a58126b.png,What color is the flower in her ear Answer with reasonable length (not too short or too long).,There's no flower in her ear,The flower in the woman's ear is pink.,false premises,"The direct answer to the question is 'The flower in the woman's ear is pink.' The ground truth is 'There's no flower in her ear.' The direct answer contradicts the ground truth, indicating a hallucination. The response contains false premises about the presence and color of the flower.",yes,4.0
https://midjourney-image.s3.amazonaws.com/57ac60c4-5a1c-46b4-b982-035135907723.png,Does the bow that the kitten is wearing match its sweater? Answer with reasonable length (not too short or too long).,The kitten in the image is not wearing a bow.,"Yes, the bow that the kitten is wearing matches its sweater. Both the bow and the sweater are pink, which creates a coordinated and visually harmonious appearance.",false premises,"Llava's direct answer is that the bow matches the kitten's sweater. However, the ground truth is that the kitten is not wearing a bow. This contradicts the provided details, indicating a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/56b3f742-cb42-498d-b8d1-eb31b68d23cd.png,How many men are fighting the giant wolf? Answer with reasonable length (not too short or too long).,There are no men fighting the wolf in this image.,There are two men fighting the giant wolf.,false premises,"The direct answer to the question is 'There are two men fighting the giant wolf.' This contradicts the ground truth provided by the standard human-generated answer, which states that there are no men fighting the wolf in the image. Therefore, the response contains a hallucination.",yes,5.0
https://midjourney-image.s3.amazonaws.com/15899b62-2c53-489d-9b8e-8c04b3b9b2e9.png,What color are the wings on the fairy in the image? Answer with reasonable length (not too short or too long).,There is no fairy in the image.,The fairy in the image has white wings.,false premises,"The direct answer to the question is that the fairy in the image has white wings. However, the ground truth is that there is no fairy in the image. Since the direct answer contradicts the ground truth, it is considered a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/3c679859-30cd-4e23-8c83-f3189535f718.png,Are her eyes the same color? Answer with reasonable length (not too short or too long).,Her left eye is closed so I can't tell what the color is.,"No, her eyes are not the same color. One eye is blue, and the other is pink.",insufficient context,"The direct answer to the question is 'No, her eyes are not the same color. One eye is blue, and the other is pink.' This contradicts the ground truth that we cannot tell the color of her eyes because one is closed. The provided details do not support the answer that her eyes are blue and pink, as this information is not mentioned in the ground truth.",yes,4.0
https://midjourney-image.s3.amazonaws.com/27509751-eac8-4104-9e1d-7b88143d7540.png,How many bullets are in the submachine gun? Answer with reasonable length (not too short or too long).,There is no a submachine gun in the image.,"The image depicts a fantasy scene with a character standing at the bottom of a staircase, facing a large, menacing statue. There is no submachine gun in the image, and the character is not holding one. The description of the image does not provide any information about the number of bullets in a submachine gun.",false premises,"The direct answer to the question is not explicitly present in Llava's response. However, based on the context, the direct answer is implied to be '0' (there are no bullets in a submachine gun in the image). The response correctly states that there is no submachine gun in the image, aligning with the ground truth. Since the direct answer is not explicitly stated, but can be inferred as correct, the response is not a hallucination.",no,1.0
https://midjourney-image.s3.amazonaws.com/4ac672bf-53fb-4baa-9c36-4acf4ea2fe5c+11.49.41+PM.png,What color is her hair? Answer with reasonable length (not too short or too long).,There is no hair visible in this picture.,"The image does not provide enough detail to confidently determine the color of the hair. It appears to be a black and white photograph, which means that the color information is not available.",false premises,"The direct answer is not the main point of Llava's response, but rather a clarification. The main point is that the image is a black and white photograph, which means that the color information is not available. This aligns with the ground truth that there is no hair visible in the picture. Llava's response does not contain a direct answer that contradicts the ground truth.",no,1.0
https://midjourney-image.s3.amazonaws.com/2129783b-6d13-4c31-b1b7-45fa05eca8a9.png,Is the phone black or gray? Answer with reasonable length (not too short or too long).,There is no phone visible in the image.,The phone in the image is black.,false premises,"The direct answer to the question is that the phone is black. However, the ground truth is that there is no phone visible in the image, which means the direct answer is not supported by the provided details.",yes,4.0
https://midjourney-image.s3.amazonaws.com/4b28f5f3-f9ef-472e-a88e-1386aa516731.png,What color chain does the image necklace have? Answer with reasonable length (not too short or too long).,The image does not have a necklace.,The image necklace has a blue chain.,false premises,"The direct answer to the question is ""The image necklace has a blue chain."" The ground truth is that there is no necklace in the image. The direct answer contradicts the ground truth, indicating a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/13b46a76-34ad-4357-bae0-f453311bcc48.png,What color is the ladybug in the antlers? Answer with reasonable length (not too short or too long).,There is no ladybug in the image.,The ladybug in the antlers is green.,false premises,"The direct answer to the question is 'The ladybug in the antlers is green.' The ground truth provided is 'There is no ladybug in the image.' The direct answer contradicts the ground truth, as there is no ladybug in the image.",yes,4.0
https://midjourney-image.s3.amazonaws.com/228bac8d-f779-484c-a3ad-ca79319c4306.png,What kind of fish are the birds holding in this picture? Answer with reasonable length (not too short or too long).,There are no fish present in the image.,"The birds in the picture are holding a type of fish known as a koi. Koi are a species of fish that are often kept in ponds or gardens, and they are known for their bright colors and patterns. In this image, the koi are depicted with a vibrant red color, which is characteristic of certain varieties of koi.",false premises,"The direct answer is that the birds are holding a type of fish known as a koi. However, the ground truth is that there are no fish present in the image. This directly contradicts the provided information, marking it as a hallucination.",yes,5.0
https://midjourney-image.s3.amazonaws.com/200fb944-d2ef-47ce-9395-e05eacc5898e+11.49.40+PM.png,How many guns is the man in the picture using? Answer with reasonable length (not too short or too long).,There are no guns present in this image.,The man in the picture is not using any guns. He is holding a sword.,false premises,"The direct answer to the question is 'The man in the picture is not using any guns. He is holding a sword.' The ground truth is 'There are no guns present in this image.' The direct answer contradicts the ground truth because it mentions the man holding a sword, which is not the main point of the ground truth. However, the main point of the direct answer, that the man is not using any guns, is in agreement with the ground truth. Therefore, it is not a hallucination.",no,1.0
https://midjourney-image.s3.amazonaws.com/337394174_267228845628587_3053664579102423620_n.jpg,What color is the soccer ball in the image? Answer with reasonable length (not too short or too long).,There is no soccer ball in the image.,The soccer ball in the image is blue.,false premises,"The direct answer to the question is 'The soccer ball in the image is blue.' However, the ground truth is 'There is no soccer ball in the image.' Since the direct answer contradicts the ground truth, it is marked as a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/4603c358-c635-47fc-be48-c0570ffee9ea.png,What color are the shoes of the main woman in the image? Answer with reasonable length (not too short or too long).,The woman's shoes are not visible in the image.,The main woman in the image is wearing silver shoes.,insufficient context,"The direct answer to the question is 'The main woman in the image is wearing silver shoes.' However, the ground truth states that the woman's shoes are not visible in the image. This indicates that Llava's response is incorrect and contains a hallucination.",yes,4.0
https://midjourney-image.s3.amazonaws.com/55fbc106-5b4f-44f6-a03f-35e99810d525.png,How many people are in the image? Answer with reasonable length (not too short or too long).,There are no people visible in the image,There are no people in the image. It is an artistic illustration of a stylized bird with intricate patterns and designs.,false premises,"The direct answer to the question is 'There are no people in the image.' This directly aligns with the ground truth provided, which states 'There are no people visible in the image.' Since the direct answer is in agreement with the ground truth, even though the response contains additional details, it is not considered a hallucination.",no,1.0
